term	estimate	std.error	statistic	p.value	conf.low	conf.high	combo	outcome	subgroup	LE8_cat
comboNo-CHIP_Intermediate	1.82703740533404	0.0342062705794424	17.6194522411656	1.74688158587899e-69	1.70856304458854	1.95372695848846	No-CHIP_Intermediate	Intermediate CAD	No-CHIP	Intermediate
comboNo-CHIP_Low	3.64311709971286	0.0360385946403717	35.8737535181303	7.84069643930488e-282	3.39466578789941	3.90975224999485	No-CHIP_Low	Intermediate CAD	No-CHIP	Low
comboDNMT3A_Intermediate	1.83672077397699	0.0460947535079699	13.1898263318248	1.00416306645973e-39	1.67805894713073	2.01038420451616	DNMT3A_Intermediate	Intermediate CAD	DNMT3A	Intermediate
comboDNMT3A_Low	3.39883827059416	0.0724774465777322	16.8801985429075	6.29328189129802e-64	2.94874749766693	3.9176299763868	DNMT3A_Low	Intermediate CAD	DNMT3A	Low
combonon-DNMT3A_Intermediate	2.19982496087701	0.0606179268264463	13.005687182579	1.13573366729879e-38	1.95339491439353	2.47734332819227	non-DNMT3A_Intermediate	Intermediate CAD	non-DNMT3A	Intermediate
combonon-DNMT3A_Low	4.41702394407106	0.101967925377101	14.5679746645436	4.49006371320637e-48	3.61688331457703	5.39417471497242	non-DNMT3A_Low	Intermediate CAD	non-DNMT3A	Low
comboTET2_Intermediate	2.00232981681619	0.060169202607534	11.5393154786761	8.35877403188872e-31	1.77958811400179	2.25295092935597	TET2_Intermediate	Intermediate CAD	TET2	Intermediate
comboTET2_Low	3.38015601705525	0.106522175778804	11.4335053562065	2.84391712591516e-30	2.74324695595886	4.1649384408562	TET2_Low	Intermediate CAD	TET2	Low
comboASXL1_Intermediate	2.23547116738823	0.0737644783143907	10.905683024938	1.08277023794194e-27	1.93455301183687	2.58319689853269	ASXL1_Intermediate	Intermediate CAD	ASXL1	Intermediate
comboASXL1_Low	3.47872009894928	0.121106251220642	10.2939726555187	7.50160375942419e-25	2.74368126976202	4.4106776031909	ASXL1_Low	Intermediate CAD	ASXL1	Low
comboNo-CHIP_Intermediate	1.7997217511916	0.0331396263588155	17.7320065084359	2.37408226202618e-70	1.68654084860015	1.92049803264507	No-CHIP_Intermediate	Composite CVD	No-CHIP	Intermediate
comboNo-CHIP_Low	3.50502261303065	0.0350872614014493	35.7450801806719	7.88894456911493e-280	3.27208436866379	3.75454362837016	No-CHIP_Low	Composite CVD	No-CHIP	Low
comboDNMT3A_Intermediate	1.80755746253882	0.0452272521225111	13.08893284322	3.8092203361184e-39	1.65422509797651	1.97510241162244	DNMT3A_Intermediate	Composite CVD	DNMT3A	Intermediate
comboDNMT3A_Low	3.38126193547323	0.0719889564774701	16.9227205548861	3.0596485827907e-64	2.93630865081309	3.8936411787345	DNMT3A_Low	Composite CVD	DNMT3A	Low
combonon-DNMT3A_Intermediate	2.18459484475919	0.0597651932106535	13.0750081048057	4.57515180767111e-39	1.9431157848715	2.45608350923054	non-DNMT3A_Intermediate	Composite CVD	non-DNMT3A	Intermediate
combonon-DNMT3A_Low	4.07990043764815	0.104730669090873	13.425604913887	4.28074511272821e-41	3.32278818781068	5.00952412259808	non-DNMT3A_Low	Composite CVD	non-DNMT3A	Low
comboTET2_Intermediate	1.96934664609446	0.0594270691738716	11.4039249357861	3.99684378422797e-30	1.75282175488235	2.21261871133257	TET2_Intermediate	Composite CVD	TET2	Intermediate
comboTET2_Low	3.01735224414039	0.112100873147385	9.85166016523633	6.74209832574759e-23	2.42217532848085	3.75877603002803	TET2_Low	Composite CVD	TET2	Low
comboASXL1_Intermediate	2.21723996161805	0.0732863848142927	10.8650899328704	1.69056532870439e-27	1.92057474398287	2.55973013432476	ASXL1_Intermediate	Composite CVD	ASXL1	Intermediate
comboASXL1_Low	3.59861923269674	0.119336073083379	10.7306214485662	7.31028809645168e-27	2.84811058020833	4.54689521956257	ASXL1_Low	Composite CVD	ASXL1	Low
comboNo-CHIP_Intermediate	2.60519303418854	0.185045660630201	5.17443516705538	2.28601468912083e-07	1.8127117772563	3.74413121299256	No-CHIP_Intermediate	CAD Death (HARD)	No-CHIP	Intermediate
comboNo-CHIP_Low	7.33437112374945	0.188246144909187	10.5849268388142	3.50054108987823e-26	5.07139540376527	10.6071397511129	No-CHIP_Low	CAD Death (HARD)	No-CHIP	Low
comboDNMT3A_Intermediate	2.59341788509653	0.224728386664075	4.24057088045081	2.22952015305253e-05	1.66948819322325	4.0286695970896	DNMT3A_Intermediate	CAD Death (HARD)	DNMT3A	Intermediate
comboDNMT3A_Low	7.73678084196929	0.271230984220663	7.54333320389196	4.58108661383895e-14	4.54661376598473	13.1653535746727	DNMT3A_Low	CAD Death (HARD)	DNMT3A	Low
combonon-DNMT3A_Intermediate	4.74939695373258	0.24620157362314	6.32821971829771	2.48005836005837e-10	2.93137452925925	7.69494692642513	non-DNMT3A_Intermediate	CAD Death (HARD)	non-DNMT3A	Intermediate
combonon-DNMT3A_Low	10.4330380054358	0.341933219927144	6.8579984793193	6.98320025396209e-12	5.33773126585806	20.3922371886905	non-DNMT3A_Low	CAD Death (HARD)	non-DNMT3A	Low
comboTET2_Intermediate	2.44197287455868	0.284977958873371	3.13289586070833	0.00173090843213422	1.39690591758347	4.26888557419547	TET2_Intermediate	CAD Death (HARD)	TET2	Intermediate
comboTET2_Low	0.752373311826342	1.01667624290761	-0.279855711092327	0.779588207389989	0.102573929913218	5.51861082857463	TET2_Low	CAD Death (HARD)	TET2	Low
comboASXL1_Intermediate	3.20247960837765	0.310225377836914	3.75187031917457	0.000175520252738692	1.74350040549767	5.88234772400137	ASXL1_Intermediate	CAD Death (HARD)	ASXL1	Intermediate
comboASXL1_Low	13.4714802197321	0.324317080230426	8.01861829985464	1.06941258049188e-15	7.13437804589559	25.4375052938273	ASXL1_Low	CAD Death (HARD)	ASXL1	Low
