exposure_component	exposure_category	chip_type	chip_status	outcome	incidence_rate_100py	ci_95	p_value_rate	pval_interaction
BP_Score	Low	ASXL1	Carrier	Coronary_Artery_Disease_Death	1.16380468720174	(0.69 - 1.84)	9.88131291682493e-324	0.547540952013188
BP_Score	Low	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.562296872325167	(0.53 - 0.60)	8.89318162514244e-323	0.547540952013188
BP_Score	Intermediate	ASXL1	Carrier	Coronary_Artery_Disease_Death	0.614064975461915	(0.29 - 1.13)	9.88131291682493e-324	0.547540952013188
BP_Score	Intermediate	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.230837589476712	(0.21 - 0.25)	1.08694442085074e-322	0.547540952013188
BP_Score	High	ASXL1	Carrier	Coronary_Artery_Disease_Death	0.829809863923645	(0.17 - 2.43)	4.94065645841247e-324	0.547540952013188
BP_Score	High	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.200202365513584	(0.17 - 0.23)	5.92878775009496e-323	0.547540952013188
BP_Score	Low	CHIP	Carrier	Coronary_Artery_Disease_Death	0.776598791513612	(0.64 - 0.93)	2.47032822920623e-323	0.945821570719025
BP_Score	Low	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.549948655986433	(0.52 - 0.59)	8.89318162514244e-323	0.945821570719025
BP_Score	Intermediate	CHIP	Carrier	Coronary_Artery_Disease_Death	0.299210416796988	(0.23 - 0.39)	2.96439387504748e-323	0.945821570719025
BP_Score	Intermediate	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.228393601199249	(0.21 - 0.25)	1.08694442085074e-322	0.945821570719025
BP_Score	High	CHIP	Carrier	Coronary_Artery_Disease_Death	0.409524440034461	(0.24 - 0.66)	1.48219693752374e-323	0.945821570719025
BP_Score	High	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.191433251949626	(0.16 - 0.23)	5.43472210425371e-323	0.945821570719025
BP_Score	Low	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.709097104038195	(0.54 - 0.92)	1.97626258336499e-323	0.933426913419406
BP_Score	Low	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.560971584228216	(0.53 - 0.60)	8.89318162514244e-323	0.933426913419406
BP_Score	Intermediate	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.221392449995519	(0.14 - 0.33)	2.47032822920623e-323	0.933426913419406
BP_Score	Intermediate	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.23337947552667	(0.22 - 0.25)	1.08694442085074e-322	0.933426913419406
BP_Score	High	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.429521746103763	(0.21 - 0.79)	9.88131291682493e-324	0.933426913419406
