exposure	chip	outcome	n_nochip	hr_nochip	se_nochip	pval_nochip	lci_nochip	uci_nochip	n_chip	hr_chip	se_chip	pval_chip	lci_chip	uci_chip	pval_inter
diet_score	CHIP	composite_mi_cad_stroke_death	377390	0.972716674071379	0.00183015122398496	1.29301587033408e-51	0.969233760101737	0.97621210379338	26946	0.974771167778544	0.00611238347598923	2.90928228424143e-05	0.963163030887806	0.986519207092602	0.70858549636691
BP_Score	CHIP	composite_mi_cad_stroke_death	377390	0.929100337873599	0.00241140672664609	2.93393656842135e-204	0.924719519128855	0.933501910557757	26946	0.939832159936466	0.00818224543360872	3.35116882992725e-14	0.924880370259905	0.955025663051565	0.173583974672362
PA_score	CHIP	composite_mi_cad_stroke_death	377390	0.983611271312834	0.00209035079752064	2.67639055907728e-15	0.979589647803158	0.987649405262049	26946	0.978462871251234	0.00690172885384352	0.00160698850669243	0.965316186016124	0.991788601793129	0.449837820960032
final_smoking_score	CHIP	composite_mi_cad_stroke_death	377390	0.954104623338398	0.00175369889730499	4.20301076970933e-158	0.950830817201767	0.957389701518832	26946	0.965580905746141	0.00577864998466211	1.351343323116e-09	0.954706486481126	0.97657918820474	0.0531482843123068
sleep_health_points	CHIP	composite_mi_cad_stroke_death	377390	0.932498201887528	0.00282641866409541	5.52014821256321e-135	0.927346743266776	0.93767827712457	26946	0.935021149301401	0.00953903416937265	1.87760462489233e-12	0.917702244111748	0.952666897406489	0.838490094175376
bmi_points	CHIP	composite_mi_cad_stroke_death	377390	0.912233809759019	0.00202209054621932	0	0.908625577084277	0.915856371045416	26946	0.926628724324588	0.00684407925652252	8.56553246053032e-29	0.91428178566537	0.939142402490865	0.0269859950212327
Blood_lipid_points	CHIP	composite_mi_cad_stroke_death	377390	0.969082880360517	0.00202306298588132	2.4034025964121e-54	0.96524794821446	0.972933048700126	26946	0.979290765386195	0.00674667442704991	0.00192362947765546	0.966426609995534	0.992326156225263	0.111035959652001
HbA1c_score	CHIP	composite_mi_cad_stroke_death	377390	0.910205818697044	0.00223402824693739	0	0.90622909056729	0.914199997565008	26946	0.915585232997124	0.00730195789434871	1.38319079008854e-33	0.902575086634962	0.928782913793673	0.494291255866322
diet_score	ASXL1	composite_mi_cad_stroke_death	401862	0.972706257706398	0.00176195327874829	1.37717030093793e-55	0.969352941436142	0.976071174219998	2474	0.998793256364564	0.0176058725131028	0.945321153964924	0.964915883906269	1.03386003443201	0.218930330669016
BP_Score	ASXL1	composite_mi_cad_stroke_death	401862	0.929896939497072	0.00232450431828307	1.28980542384116e-214	0.925670016546579	0.934143164010011	2474	0.935057351684198	0.0235347111975073	0.00432919364242496	0.892905435322413	0.979199158556985	0.694862950955273
PA_score	ASXL1	composite_mi_cad_stroke_death	401862	0.983204643957899	0.0020111357776043	3.6977825921887e-17	0.979336721629151	0.987087842772058	2474	0.982915859664271	0.0193928200727523	0.374237551697079	0.946257084952491	1.02099482534185	0.84677789034368
final_smoking_score	ASXL1	composite_mi_cad_stroke_death	401862	0.955112077163084	0.00169022191580479	1.39464725504152e-162	0.951953241772426	0.958281394414181	2474	0.957567340482697	0.0143211665850239	0.00246477546124297	0.931063124002568	0.984826042317381	0.980446532866677
sleep_health_points	ASXL1	composite_mi_cad_stroke_death	401862	0.932795065165139	0.00272324194203792	5.97953993361357e-144	0.927829575757973	0.937787128509693	2474	0.929804915751528	0.027485372670725	0.00809763571873622	0.881041257897683	0.981267532713101	0.810101464113889
bmi_points	ASXL1	composite_mi_cad_stroke_death	401862	0.912959073479425	0.00194802574823018	0	0.909479986586787	0.916451469126279	2474	0.969050473411749	0.0204272032204926	0.123790976569372	0.931019401110361	1.00863507129882	0.00851447233298033
Blood_lipid_points	ASXL1	composite_mi_cad_stroke_death	401862	0.969985737959506	0.00194657922302635	3.06585510393023e-55	0.966292074516586	0.973693520476761	2474	0.96678845761557	0.0200927502337819	0.0927662417044394	0.929455232674513	1.00562123803332	0.780184104367063
HbA1c_score	ASXL1	composite_mi_cad_stroke_death	401862	0.9105994417164	0.00214789370611278	0	0.906774063049297	0.914440958385837	2474	0.922601406372523	0.0208000682186303	0.000107518269701385	0.885745719313726	0.960990650567367	0.416140915461794
diet_score	TET2	composite_mi_cad_stroke_death	399143	0.972881356804713	0.00176764328930266	1.50510608458052e-54	0.969516624577388	0.976257766421239	5193	0.971906357353229	0.0137555906757527	0.0383045398135422	0.946053382664142	0.998465821033869	0.825602466693072
BP_Score	TET2	composite_mi_cad_stroke_death	399143	0.929721353546383	0.0023314169346267	1.86064324405462e-214	0.925482689768462	0.933979430189418	5193	0.942952335932441	0.0184981135825779	0.00149612441050846	0.909377318410683	0.977766972893528	0.366961413389376
PA_score	TET2	composite_mi_cad_stroke_death	399143	0.98294937379193	0.00201722781696282	1.52290564130684e-17	0.979070765346039	0.986843347422861	5193	0.996903947737358	0.0156396352091936	0.842834598885978	0.966809333013584	1.02793534058733	0.423639542231603
